start,end,tournament,round,round_match_number,player1,player2,deck1,deck2,map,victor,victory,format,unknown_order,recorder,notes
2020-09-09,2020-09-11,MMM1,8,2,FrozenStorm,codexnewb,MonoBlue,MonoGreen,,FrozenStorm,normal,forum,,charnel_mouse,
2020-07-29,2020-09-11,MMM1,9,1,charnel_mouse,codexnewb,MonoGreen,MonoRed,,codexnewb,normal,forum,,charnel_mouse,
2020-09-14,2020-09-16,MMM1,9,2,FrozenStorm,codexnewb,MonoBlue,MonoGreen,,FrozenStorm,normal,forum,,charnel_mouse,
2020-09-16,2020-09-17,MMM1,10,2,FrozenStorm,codexnewb,MonoBlue,MonoGreen,,FrozenStorm,normal,forum,,charnel_mouse,
2020-09-14,2020-10-05,MMM1,10,1,charnel_mouse,codexnewb,MonoGreen,MonoRed,,codexnewb,normal,forum,,charnel_mouse,
2020-10-06,2020-10-06,XCAFS20,1,1,CarpeGuitarrem,zhavier,[BashingF20]/DisciplineF20/FireF20,[BalanceF20/FeralF20]/BloodF20,,zhavier,normal,forum,,charnel_mouse,Rickety Mine changes are very strong
2020-10-05,2020-10-07,XCAFS20,1,3,FrozenStorm,bansa,[BashingF20]/DisciplineF20/NinjitsuF20,[LawF20/PeaceF20]/FinesseF20,,bansa,normal,forum,,charnel_mouse,
2020-10-06,2020-10-09,XCAFS20,1,2,dwarddd,EricF,MonoPurpleF20,[PastF20]/PeaceF20/TruthF20,,dwarddd,normal,forum,,charnel_mouse,
2020-10-05,2020-10-09,XCAFS20,1,5,charnel_mouse,James,[BalanceF20]/BloodF20/StrengthF20,MonoBlueF20,,charnel_mouse,normal,forum,,charnel_mouse,
2020-10-05,2020-10-12,XCAFS20,1,4,codexnewb,Bomber678,[FutureF20]/PeaceF20/TruthF20,[BashingF20]/DisciplineF20/FireF20,,codexnewb,normal,forum,,charnel_mouse,
2020-10-12,2020-10-13,XCAFS20,2,2,bansa,codexnewb,[LawF20/PeaceF20]/FinesseF20,[FutureF20]/PeaceF20/TruthF20,,bansa,normal,forum,,charnel_mouse,
2020-10-12,2020-10-14,XCAFS20,2,3,Nekoatl,charnel_mouse,[GrowthF20]/StrengthF20/TruthF20,[BalanceF20]/BloodF20/StrengthF20,,charnel_mouse,normal,forum,,charnel_mouse,
2020-10-12,2020-10-14,XCAFS20,2,5,EricF,FrozenStorm,[PastF20]/PeaceF20/TruthF20,[BashingF20]/DisciplineF20/NinjitsuF20,,EricF,normal,forum,,charnel_mouse,
2020-10-12,2020-10-19,XCAFS20,2,1,zhavier,dwarddd,[BalanceF20/FeralF20]/BloodF20,MonoPurpleF20,,zhavier,normal,forum,,charnel_mouse,
2020-10-13,2020-10-20,XCAFS20,2,4,Bomber678,CarpeGuitarrem,[BashingF20]/DisciplineF20/FireF20,[BashingF20]/DisciplineF20/FireF20,,Bomber678,normal,forum,,charnel_mouse,
2020-10-20,2020-10-22,XCAFS20,3,1,zhavier,bansa,[BalanceF20/FeralF20]/BloodF20,[LawF20/PeaceF20]/FinesseF20,,zhavier,normal,forum,,charnel_mouse,
2020-10-20,2020-10-22,XCAFS20,3,3,codexnewb,EricF,[FutureF20]/PeaceF20/TruthF20,[PastF20]/PeaceF20/TruthF20,,codexnewb,normal,forum,,charnel_mouse,
2020-10-20,2020-10-23,XCAFS20,3,4,Bomber678,Nekoatl,[BashingF20]/DisciplineF20/FireF20,[GrowthF20]/StrengthF20/TruthF20,,Nekoatl,normal,forum,,charnel_mouse,
